region,rtop_intersubject_cov
6r_R,4.595404085641756
IFJa_R,6.601770005375044
IFJp_R,6.603146834308617
IFSp_R,6.512325780600197
IFSa_R,6.26494801223563
p9-46v_R,5.630566659495255
46_R,5.081660831974931
a9-46v_R,6.373646357498757
9-46d_R,5.1941854549604445
9a_R,5.414031480127079
10v_R,5.099278169414221
a10p_R,5.7273564996888435
10pp_R,6.574164135898862
11l_R,5.178110468280559
13l_R,5.790150300874539
OFC_R,5.1739941943973635
47s_R,5.988818560287372
LIPd_R,6.915954999857981
6a_R,4.921632647009591
i6-8_R,5.953351456355552
s6-8_R,6.040982147481656
43_R,5.212952917368666
OP4_R,5.081758412394195
OP1_R,5.696807132376803
OP2-3_R,5.104998201914563
52_R,5.517383348094559
RI_R,5.606692559138757
PFcm_R,5.446412828379608
PoI2_R,5.521160988753415
TA2_R,5.273655256728812
FOP4_R,4.706658894792501
MI_R,5.159238691316979
Pir_R,6.248535591513554
AVI_R,5.339325160919662
AAIC_R,6.465694704441393
FOP1_R,5.110756877296301
FOP3_R,5.302638151661693
FOP2_R,4.952681907480649
PFt_R,6.0787223789203555
AIP_R,6.20909044267703
EC_R,5.390336837049491
PreS_R,6.238956785111028
H_R,5.193693453911196
ProS_R,5.56506611454902
PeEc_R,4.796627787665477
STGa_R,6.655077151145996
PBelt_R,4.665886731280664
A5_R,5.906336597122135
PHA1_R,4.941763760387984
PHA3_R,6.173667215767529
STSda_R,5.893021736667308
STSdp_R,5.637388299493373
STSvp_R,5.503666111880377
TGd_R,4.833783278534708
TE1a_R,6.232391826606313
TE1p_R,5.45390131697094
TE2a_R,5.1402272102897815
TF_R,5.100388919959775
TE2p_R,6.002234201939484
PHT_R,5.181777586730537
PH_R,5.428876664811054
TPOJ1_R,4.741062513159363
TPOJ2_R,5.11663244869732
TPOJ3_R,5.0725201540360345
DVT_R,5.010762157796867
PGp_R,4.608986012354709
IP2_R,5.620739002465477
IP1_R,5.455063121806005
IP0_R,4.976683291970625
PFop_R,5.587620233233916
PF_R,5.097206835461626
PFm_R,4.765311322388883
PGi_R,4.317433461009214
PGs_R,5.087378048724466
V6A_R,6.341240550592461
VMV1_R,4.853638021380699
VMV3_R,6.5506258151596946
PHA2_R,5.837778752460745
V4t_R,5.4360209680741125
FST_R,5.560237104956292
V3CD_R,4.88040108288879
LO3_R,5.574356993995797
VMV2_R,6.507750045308579
31pd_R,4.69611021763422
31a_R,5.25988797220878
VVC_R,5.287667339449677
25_R,5.920893396031054
s32_R,7.063512540293322
pOFC_R,5.510178522447962
PoI1_R,5.2072914625177615
Ig_R,4.742566442076367
FOP5_R,5.232986635191346
p10p_R,5.489078315243301
p47r_R,5.953671909257686
TGv_R,5.024218900129157
MBelt_R,4.8923103304914815
LBelt_R,5.3697961464349
A4_R,5.485257431369094
STSva_R,5.935241872656194
TE1m_R,6.118269318747508
PI_R,5.3967305339332485
a32pr_R,5.216350855265214
p24_R,5.591159562639543
