region,icvf_intersubject_cov
PFt_R,4.959060391899989
AIP_R,4.752911228017486
EC_R,6.864182589094659
PreS_R,5.989194221149504
H_R,6.53233990463078
ProS_R,6.041892831817102
PeEc_R,7.1169232804102185
STGa_R,5.190352440545893
PBelt_R,5.438548294258768
A5_R,4.8694148264618935
PHA1_R,6.125214343378441
PHA3_R,7.054149369794343
STSda_R,5.238842480133791
STSdp_R,4.7075262019491655
STSvp_R,4.849273655164107
TGd_R,6.209934411712561
TE1a_R,6.251715449321307
TE1p_R,5.558611410200212
TE2a_R,6.630558612501189
TF_R,6.086965041780823
TE2p_R,7.141795293889874
PHT_R,4.557753684858734
PH_R,5.590000863211412
TPOJ1_R,4.438115287482685
TPOJ2_R,4.629333465821019
TPOJ3_R,4.4510415533209775
DVT_R,5.498771925321427
PGp_R,4.440720279162115
IP2_R,5.212045429762195
IP1_R,5.518661759776801
IP0_R,6.476873750203168
PFop_R,4.963224677588449
PF_R,4.547804508102888
PFm_R,4.6237240436840645
PGi_R,4.127097137663882
PGs_R,4.790129255381356
V6A_R,5.869577729894153
VMV1_R,6.383252628345204
VMV3_R,6.337234872955958
PHA2_R,6.527963137749201
V4t_R,5.395376275183
FST_R,5.039752678480434
V3CD_R,4.781356150090799
LO3_R,5.111514256927607
VMV2_R,6.1662442886122
31pd_R,5.539660627186964
31a_R,5.9669035259802525
VVC_R,5.904087624139316
25_R,8.470613846251386
s32_R,9.496947443109637
pOFC_R,8.770529689015211
PoI1_R,5.021138892170364
Ig_R,5.006846292478676
FOP5_R,5.579856133128882
p10p_R,6.036606452053313
p47r_R,5.381924387343398
TGv_R,7.241014239811793
MBelt_R,6.077623774913334
LBelt_R,5.778958330592022
A4_R,4.736233901378486
STSva_R,5.059252407077752
TE1m_R,6.43782516496596
PI_R,5.930264082105862
a32pr_R,6.409306661451309
