region,megtheta
PoI1_R,0.23888125
Ig_R,0.23771884
FOP5_R,0.26414046
p10p_R,0.27477247
p47r_R,0.26035035
TGv_R,0.23592055
MBelt_R,0.2376377
LBelt_R,0.23625179
A4_R,0.23578987
STSva_R,0.23397703
TE1m_R,0.23363703
PI_R,0.23950657
a32pr_R,0.30594996
p24_R,0.2961926
