region,parvalbumin
OP2-3_R,136.4125305649138
52_R,132.29709241068954
RI_R,110.57992312261877
PFcm_R,129.6115503232916
PoI2_R,131.97741152596527
TA2_R,132.49072431884733
FOP4_R,126.33858259488538
MI_R,133.4933493925024
Pir_R,118.2438789256916
AVI_R,113.80251481866324
AAIC_R,113.59834159587992
FOP1_R,132.51583502159357
FOP3_R,139.80565806185265
FOP2_R,132.36090078262183
PFt_R,139.32643236331614
AIP_R,138.7259000642838
EC_R,115.24946791998644
PreS_R,122.56797086065342
H_R,133.65698795573766
ProS_R,127.14204567607187
PeEc_R,117.43084627470512
STGa_R,128.52271935015426
PBelt_R,136.83058253511206
A5_R,140.13388001105912
PHA1_R,108.60526249429454
PHA3_R,131.4088412227113
STSda_R,137.10246431841423
STSdp_R,130.27756098147546
STSvp_R,147.0717865821692
TGd_R,126.34955386460356
TE1a_R,143.0176900146641
TE1p_R,141.96016098892056
TE2a_R,141.55795189486443
TF_R,140.8230690548785
TE2p_R,135.9154374325622
PHT_R,135.06183887641026
PH_R,123.8909433234594
TPOJ1_R,133.22817707408558
TPOJ2_R,134.19926183691288
TPOJ3_R,129.30463032105024
DVT_R,125.77858852978191
PGp_R,115.66097828248624
IP2_R,140.69877612723812
IP1_R,123.24660578205358
IP0_R,115.2854293303761
PFop_R,140.39340483472589
PF_R,142.49684329384496
PFm_R,125.80235797689755
PGi_R,128.08592620926288
PGs_R,112.3110296122506
V6A_R,115.65675585897344
VMV1_R,124.59653503122463
VMV3_R,126.03392918315934
PHA2_R,131.8499949294909
V4t_R,136.58260076546375
FST_R,132.6778818280714
V3CD_R,122.46989870384434
LO3_R,122.97070536430608
VMV2_R,130.50165502929687
31pd_R,134.06353519949153
31a_R,147.04517346667004
VVC_R,130.70052374103523
25_R,119.2780090444536
s32_R,123.07951706870992
pOFC_R,119.36983802777009
PoI1_R,139.93048190266146
Ig_R,157.58037869027413
FOP5_R,112.89429155105536
p10p_R,107.6334760587134
p47r_R,101.9765015386688
TGv_R,124.17384677487328
MBelt_R,136.9858839240941
LBelt_R,146.99210776129658
A4_R,144.43233243351668
STSva_R,159.04098582600437
TE1m_R,139.1027448561585
PI_R,154.41489849218016
a32pr_R,109.37345541662287
p24_R,105.24027650796424
