region,decision making
PGi_R,-1.3272988676477466
PGs_R,-0.40110532154347567
V6A_R,0.4245451965204956
VMV1_R,-0.5329963215776268
VMV3_R,-0.561321716575636
PHA2_R,-1.5781905973796613
V4t_R,1.4277793397664398
FST_R,1.1436470133530119
V3CD_R,0.19797811763815532
LO3_R,-0.18062507733915845
VMV2_R,-0.8654839253542156
31pd_R,-0.2778754440160999
31a_R,-0.5751464884835309
VVC_R,-0.6857354755652437
25_R,1.8803233219190598
s32_R,1.560354870674799
pOFC_R,2.55697966069344
PoI1_R,-2.0506884819058784
Ig_R,-1.6816185595415836
FOP5_R,1.3150653258217109
p10p_R,0.0950792559960993
p47r_R,1.0261021911326165
TGv_R,-1.7466505147394242
MBelt_R,-2.9176018241518564
LBelt_R,-3.3652474355458626
A4_R,-2.574105952999757
STSva_R,-2.151323175933263
TE1m_R,-1.5346732696897727
PI_R,-1.9984321301880168
a32pr_R,3.0193695898461694
p24_R,1.7000086950529096
