region,mood
v23ab_R,5.041112120700345
d23ab_R,4.466362718398134
31pv_R,3.299702191495343
5m_R,-0.7645770660737626
5mv_R,0.11703203681586312
23c_R,2.282664243957391
5L_R,-0.35456226004546537
24dd_R,0.07620515511734297
24dv_R,1.9983499792250847
7AL_R,-0.7063415986918606
SCEF_R,-0.4909593415281581
6ma_R,-0.43401768926997253
7Am_R,-1.4893569620328218
7Pl_R,-1.763316887013465
7PC_R,-1.4371170071469537
LIPv_R,-3.073267242096767
VIP_R,-1.8456841973007383
MIP_R,-2.148674600549553
1_R,-1.226497304368945
2_R,-1.7806418093779464
3a_R,-2.013035351043304
6d_R,-1.3436100381495812
6mp_R,-1.2235769973154393
6v_R,-0.869998399055068
p24pr_R,4.354564876610479
33pr_R,5.538840751732944
a24pr_R,5.287439878726407
p32pr_R,2.4121702225129136
a24_R,6.962162168728326
d32_R,4.847043395200384
8BM_R,1.2277709705861852
p32_R,4.349538438488654
10r_R,4.096700539557938
47m_R,3.597659437484914
8Av_R,-0.0712060858790923
8Ad_R,0.5491432997319589
9m_R,2.6701108441193173
8BL_R,0.12007508567769333
9p_R,0.7080262980563923
10d_R,0.7898436430013521
8C_R,0.9688403526105889
44_R,-0.03658969603437386
45_R,0.08122700530146239
47l_R,3.3384563203344
a47r_R,2.731091110991818
6r_R,-0.5866956947905451
IFJa_R,1.3806365714543183
IFJp_R,-0.6485043613846666
IFSp_R,0.7880363362639813
IFSa_R,1.5067864546202203
p9-46v_R,1.6257846838252576
46_R,1.8563818612793404
a9-46v_R,2.161590358754475
9-46d_R,1.9971606835895588
9a_R,1.6006609416965318
10v_R,2.7261408720724325
a10p_R,1.022098087081607
10pp_R,1.3146662130031803
11l_R,3.5347990417818678
13l_R,3.244164157272962
OFC_R,1.795535244590988
47s_R,1.9219304218508464
LIPd_R,-2.9035756830482504
6a_R,-1.4655072062411265
i6-8_R,-0.14862843582754984
s6-8_R,-0.2264534792223041
43_R,-1.073968343244695
OP4_R,-1.7659906573009752
OP1_R,-0.45106070792938796
OP2-3_R,-0.4956893390091179
52_R,-0.02298420582035332
RI_R,-2.224632446958771
PFcm_R,-1.9069419780897583
PoI2_R,0.1897711361715811
TA2_R,-0.24693218860789695
FOP4_R,-0.2015916909683626
MI_R,0.8350687694515212
Pir_R,1.7990276029711645
AVI_R,-0.45243803989725223
AAIC_R,1.9734200556187804
FOP1_R,0.09390086915523532
FOP3_R,-0.58132589339516
FOP2_R,-0.8374767965427681
PFt_R,-1.7911986684691683
AIP_R,-2.870089651557514
EC_R,2.3042049382509253
PreS_R,0.3683061487989348
H_R,0.3205044682136884
ProS_R,1.4424768104922945
PeEc_R,-0.06860812989288802
STGa_R,0.16490954004004008
PBelt_R,-1.9179607916997188
A5_R,-1.8849133901996904
PHA1_R,1.687180863310674
PHA3_R,1.4573726485591352
STSda_R,-0.7819193828274378
STSdp_R,-1.5788701104036336
STSvp_R,-1.989217943348756
TGd_R,-0.4362787901585078
TE1a_R,-0.6496252123082388
TE1p_R,-0.8442501059480412
TE2a_R,-0.13188009881087215
TF_R,-0.14887900725079958
TE2p_R,0.011956682893820179
PHT_R,-0.7762078524560065
PH_R,-2.467299104215424
TPOJ1_R,-2.0016006299581943
TPOJ2_R,-1.770979514091888
TPOJ3_R,-1.2890866430589611
DVT_R,-0.643218489196413
PGp_R,-0.8625509205290922
IP2_R,-2.4457622281155658
IP1_R,-1.2266225828278834
IP0_R,-1.10858892627205
PFop_R,-1.5401006520130753
PF_R,-1.0158923732481102
PFm_R,-1.6173118105551314
PGi_R,-1.7389034684569389
PGs_R,-0.972538860855126
V6A_R,-0.7332992694676084
VMV1_R,2.6608900411796137
VMV3_R,-0.6575186450646129
PHA2_R,1.612055806982387
V4t_R,-3.1505674681644416
FST_R,-2.4405554779852863
V3CD_R,-1.4669446098198868
LO3_R,-0.8161899918227222
VMV2_R,1.1588126113630515
31pd_R,1.851693811104058
31a_R,3.0989706637558254
VVC_R,0.2876891548152604
25_R,7.2835640775011035
s32_R,8.385735973566499
pOFC_R,3.5206049492079257
PoI1_R,-0.23007549367520125
Ig_R,-0.33735988544750106
FOP5_R,-0.5069142727678675
p10p_R,1.87591749173367
p47r_R,2.850485898848583
TGv_R,-0.8177929314826077
MBelt_R,-0.9476454611477325
LBelt_R,-1.680525982024052
A4_R,-1.3280609016642035
STSva_R,-0.5446121826074948
TE1m_R,-1.106895450719529
PI_R,0.042878099966838806
a32pr_R,4.124636352572875
p24_R,5.90418224738951
