region,adaptation
LIPd_R,-2.1755435583166873
6a_R,-0.12197469888822936
i6-8_R,-0.5007490875596547
s6-8_R,-0.8633426288173356
43_R,0.4171437614298544
OP4_R,0.788214229115329
OP1_R,0.5539122404838182
OP2-3_R,0.12635975895068113
52_R,0.45620796485369053
RI_R,-0.0750282527904048
PFcm_R,0.020967063818976738
PoI2_R,-1.0802950856873037
TA2_R,-0.13341746842786625
FOP4_R,-2.0114532657999913
MI_R,-2.1037090328220525
Pir_R,-1.4728568601582679
AVI_R,-2.5541366408582196
AAIC_R,-2.969028781435837
FOP1_R,-0.7128017861746682
FOP3_R,-0.9504096051179832
FOP2_R,-0.004459024534464549
PFt_R,0.9297327606645743
AIP_R,-0.5519582457006685
EC_R,0.6055761550783572
PreS_R,-0.3337094814235834
H_R,-0.45810317605301026
ProS_R,0.19373652919976778
PeEc_R,0.28488212644445093
STGa_R,-0.8567089811979538
PBelt_R,1.4803345862498833
A5_R,0.6954658747209399
PHA1_R,1.2180209533216324
PHA3_R,4.947386431519565
STSda_R,0.3286357292052512
STSdp_R,0.778915027583563
STSvp_R,0.055235089138507956
TGd_R,-0.5998345684775562
TE1a_R,-0.41978909591207014
TE1p_R,-0.22979633723950174
TE2a_R,-0.16004095935059537
TF_R,0.9162958100660176
TE2p_R,1.9387064699081802
PHT_R,1.0394661480292913
PH_R,2.1770186969535215
TPOJ1_R,1.7264406712450613
TPOJ2_R,2.1399624557041546
TPOJ3_R,-0.6550373622967084
DVT_R,2.110900502985333
PGp_R,-0.1920981901086476
IP2_R,-1.1993946612378965
IP1_R,-1.5283167464099623
IP0_R,0.1774011277241021
PFop_R,0.23529818758787113
PF_R,-0.1499737077363921
PFm_R,-0.8529710346098245
PGi_R,-0.8905265657770212
PGs_R,-0.7987614781811182
V6A_R,0.8796503920207759
VMV1_R,2.8885930827820996
VMV3_R,6.048544856157078
PHA2_R,2.5518916842258044
V4t_R,4.2226136715867675
FST_R,3.96748413112344
V3CD_R,-0.0716293552831374
LO3_R,0.5001844481667937
VMV2_R,3.6423290360161134
31pd_R,1.7619430156485905
31a_R,1.371916034063876
VVC_R,9.217314795589033
25_R,-1.9124191757915667
s32_R,-1.3005796373164664
pOFC_R,-1.3825965110011589
PoI1_R,-0.9489948639104488
Ig_R,-0.6982706572774079
FOP5_R,-2.185042289497292
p10p_R,-1.0988801815084581
p47r_R,-1.0083796482353073
TGv_R,-0.1332868236301416
MBelt_R,1.4302971213831543
LBelt_R,1.9370567690382223
A4_R,0.5827904151104613
STSva_R,-0.11398806565158463
TE1m_R,-0.6206622148541339
PI_R,-0.7944836981641994
a32pr_R,-2.335778155108949
p24_R,-2.0974534745159965
