region,selective attention
V3B_R,5.305451290054982
LO1_R,7.8485349583714035
LO2_R,6.145993694328362
PIT_R,3.172629883277001
MT_R,8.315994431161394
A1_R,6.381487289530112
PSL_R,0.016250760716749402
SFL_R,-1.5834989703366549
PCV_R,0.7963507117660941
STV_R,2.2702486168614615
7Pm_R,3.7998574562377074
7m_R,-1.50065786146953
POS1_R,-0.5575622861761648
23d_R,-1.4255131740529288
v23ab_R,-1.2895169452865176
d23ab_R,-0.8733954031329109
31pv_R,-0.8254974432815447
5m_R,-1.2795536622124026
5mv_R,-0.02336907757283381
23c_R,-0.131909801283496
5L_R,0.06307524913923811
24dd_R,-0.8997485551135739
24dv_R,-0.6623091168982789
7AL_R,1.6262817716931612
SCEF_R,-0.5562073552864244
6ma_R,-0.550007999740741
7Am_R,2.4959141278014645
7Pl_R,2.5761882285373012
7PC_R,1.6894033138772209
LIPv_R,4.79555693447096
VIP_R,3.557580688593817
MIP_R,3.8164386735130376
1_R,-0.7215541444516796
2_R,-0.15122522469061256
3a_R,-1.4591808602444525
6d_R,-0.005482675282905169
6mp_R,-0.7334384347923861
6v_R,1.5404634845136207
p24pr_R,-0.9050059561307725
33pr_R,-1.625718742093028
a24pr_R,-1.3359512511103293
p32pr_R,-0.09068754024629753
a24_R,-2.9733382755314923
d32_R,-1.7981262977722832
8BM_R,-0.8313894348215696
p32_R,-2.950119391307911
10r_R,-3.02949050403736
47m_R,-2.0374993186074795
8Av_R,-1.0905793585464243
8Ad_R,-0.34735325676274986
9m_R,-2.0840599382231457
8BL_R,-1.1626775542141043
9p_R,-0.878587469355172
10d_R,-0.8708520409309486
8C_R,-0.6463057882680268
44_R,-0.5688125900147156
45_R,-1.3326647630099362
47l_R,-1.4687940742203642
a47r_R,-1.3241911394734815
6r_R,0.48962300270441933
IFJa_R,-0.045506949181673494
IFJp_R,0.25453972581432877
IFSp_R,-0.38637681367234483
IFSa_R,-1.0142002121237306
p9-46v_R,-0.09283333458846921
46_R,-0.7760185727588125
a9-46v_R,-0.9012311920312751
9-46d_R,-0.4030240833267245
9a_R,-1.2457112484132788
10v_R,-1.7953920565259494
a10p_R,-1.0861097975115337
10pp_R,-0.6871748781262291
11l_R,-1.468297305575324
13l_R,-2.2788838653911037
OFC_R,-1.2723109946034272
47s_R,-2.6817430009060574
LIPd_R,3.922191253739938
6a_R,2.4799380476112804
i6-8_R,0.28557939048973074
s6-8_R,-0.8941017521183303
43_R,-0.2576632278079404
