region,task difficulty
6d_R,0.23863567172934544
6mp_R,-0.40095127913284806
6v_R,0.5884097597142186
p24pr_R,2.0375421685251647
33pr_R,0.5666229779911408
a24pr_R,2.488702522030387
p32pr_R,3.414772179254332
a24_R,-2.3208134459129535
d32_R,-1.2133939742890514
8BM_R,0.27097506355205175
p32_R,-2.318769118148094
10r_R,-2.724253208315046
47m_R,0.0040335473324273315
8Av_R,-0.5931331485865818
8Ad_R,-0.7636537598183499
9m_R,-1.5457385297723358
8BL_R,-1.2831758795411197
9p_R,-0.2455043080335894
10d_R,-0.8846961921122666
8C_R,0.10622610395369088
44_R,0.07453891312845232
45_R,-0.14613947174198827
47l_R,0.3317701345019525
a47r_R,0.5956027511064128
6r_R,1.408646896258214
IFJa_R,1.3056321214711168
IFJp_R,1.7272976053509164
IFSp_R,1.958738365382969
IFSa_R,0.09144813902244858
p9-46v_R,1.9004261544679875
46_R,0.5390050892052398
a9-46v_R,1.3973047559600495
9-46d_R,0.15431055795990212
9a_R,-0.2634154730341187
10v_R,-1.587335882302373
a10p_R,0.31392411571492784
10pp_R,0.35168549017034756
11l_R,-0.40265633069281265
13l_R,-2.194717227196661
OFC_R,-1.9512079283939876
47s_R,-0.7054682950446584
LIPd_R,5.347583176906197
6a_R,3.4807118980965805
i6-8_R,1.5658182414757789
s6-8_R,-1.153900624953856
43_R,-0.40415280227514544
OP4_R,-1.1929044594355886
OP1_R,-1.6228093761707787
OP2-3_R,-1.2134136057462375
52_R,-1.3112364770742637
RI_R,-1.591140605415214
PFcm_R,-1.0905509865266982
PoI2_R,-1.8599775231788676
TA2_R,-1.459442227405661
FOP4_R,0.9853411064332869
MI_R,1.496718159901587
Pir_R,-1.9490677101921046
AVI_R,3.7599454329840207
AAIC_R,1.2029226509249193
FOP1_R,-0.7698758424287735
FOP3_R,0.2608882118771199
FOP2_R,0.7053244073751881
PFt_R,-0.9688402214255281
AIP_R,1.7663497133199435
EC_R,-1.0121078333429354
PreS_R,-0.9785963336056933
H_R,-1.0524562280873242
ProS_R,-1.0026145054839202
PeEc_R,-0.9276961709591744
STGa_R,-0.23913432232725101
PBelt_R,-1.402727552736158
A5_R,-0.5632794100873946
PHA1_R,-0.4041543126565741
PHA3_R,-0.26143828517308265
STSda_R,-0.5756065908223705
STSdp_R,-0.16999983534296542
STSvp_R,0.1535360805493551
TGd_R,-0.32983941371819353
TE1a_R,-0.7116599287691409
TE1p_R,-0.23826757682966415
TE2a_R,-0.6151373117846968
TF_R,-1.0201374853429537
TE2p_R,-0.24722820269779627
PHT_R,-0.2030951260313115
PH_R,0.5027931412229281
TPOJ1_R,-0.6576509516916454
TPOJ2_R,-0.7330535399588117
TPOJ3_R,-0.3471622031881405
DVT_R,1.438912719262945
PGp_R,0.49026008607679367
IP2_R,2.9842691905542447
IP1_R,2.69815693750275
IP0_R,2.072771462961466
PFop_R,-0.535254504724838
PF_R,-0.6475633927159273
PFm_R,0.052667204411658904
PGi_R,-0.7132466854841508
PGs_R,-0.50420481766286
V6A_R,0.8517816529684422
VMV1_R,-0.005021125625760335
VMV3_R,0.2208468490336607
PHA2_R,-0.08406608852004388
V4t_R,-0.9224464063067388
FST_R,-0.6897109352557563
V3CD_R,0.8064626109367745
LO3_R,-0.34822107355565707
VMV2_R,-0.22222819048066794
31pd_R,-0.13786823571136797
31a_R,-1.5532424163641874
VVC_R,0.8942441851850158
25_R,-2.8118013093619543
s32_R,-3.6694470625832287
pOFC_R,-2.8174365488717377
PoI1_R,-2.1703038630778115
Ig_R,-1.4370068443770507
FOP5_R,1.1447911096094674
p10p_R,-0.19733320819271477
p47r_R,0.5680812777351488
TGv_R,-0.859073730996331
MBelt_R,-1.359082049196136
LBelt_R,-1.3404197463595435
A4_R,-1.0994888663685558
STSva_R,-0.2678116935003286
TE1m_R,-0.7427921480121361
PI_R,-1.9182186106762005
a32pr_R,1.14508154394834
p24_R,-1.7222876871973583
