region,categorization
2_R,0.29487048364507484
3a_R,-0.9489092634736885
6d_R,0.3999082777352832
6mp_R,-0.7769969680984223
6v_R,0.31463155789772107
p24pr_R,-1.4922496516059238
33pr_R,-2.1983855079971715
a24pr_R,-2.045796140471121
p32pr_R,-0.9220493709662267
a24_R,-2.7474236179588343
d32_R,-2.2032810579634847
8BM_R,-1.0497889149344886
p32_R,-3.0613811000704314
10r_R,-2.9409055715225807
47m_R,-0.7047532510005868
8Av_R,-0.925698035046517
8Ad_R,-1.9103331277544542
9m_R,-1.96383365094059
8BL_R,-1.260408461140572
9p_R,-0.9645161811371442
10d_R,-0.4934187572651211
8C_R,-1.3860856892687963
44_R,0.08347095362709925
45_R,-0.5143464552002737
47l_R,-0.6994580428930002
a47r_R,-1.1614219989253864
6r_R,0.5900416813371366
IFJa_R,1.5071589077761056
IFJp_R,0.9044174989689517
IFSp_R,0.1373220050751932
IFSa_R,-0.5145688862508407
p9-46v_R,0.40492154512782935
46_R,-1.1240511269971014
a9-46v_R,-1.0132839864666905
9-46d_R,-1.237729580778646
9a_R,-1.0709942497780605
10v_R,-1.76810598469914
a10p_R,-0.9625443163748862
10pp_R,-0.6459482637068148
11l_R,-1.4761449307979964
13l_R,-2.1654459393656817
OFC_R,-1.5317134833944972
47s_R,-0.7872160377327645
LIPd_R,2.5363996274917473
6a_R,0.04936465748613392
i6-8_R,-0.796332525539472
s6-8_R,-0.6751322606828982
43_R,0.1037167370527043
OP4_R,0.8310974276143837
OP1_R,0.5420495113939315
OP2-3_R,-1.0395321955045893
52_R,2.5124869589981396
RI_R,-0.031088498227270663
PFcm_R,-0.42834247913096785
PoI2_R,-1.2302792929021784
TA2_R,0.6312309989730928
FOP4_R,0.018708215343341533
MI_R,-1.0912750850937478
Pir_R,-2.024069330879714
AVI_R,-0.3097445366675987
AAIC_R,-1.6283214609447758
FOP1_R,-0.16080135115690208
FOP3_R,-0.5778621105562487
FOP2_R,0.20302563456910358
PFt_R,-0.8342086371547607
AIP_R,1.7084136340631355
EC_R,0.9146738253860586
PreS_R,-0.4111645920690092
H_R,-0.05467935019324367
ProS_R,-0.5363815093455623
PeEc_R,1.2095401862224653
STGa_R,-0.9378608824075555
PBelt_R,4.92570850982192
A5_R,3.7253461880416485
PHA1_R,0.7208165467732092
PHA3_R,3.2738424282828014
STSda_R,1.4705643357210594
STSdp_R,4.908223874488149
STSvp_R,2.875405509877487
TGd_R,-0.48712507002072053
TE1a_R,0.23128506403780305
TE1p_R,0.9705141824671648
TE2a_R,0.5788590896200217
TF_R,1.532175636877102
TE2p_R,1.5594464042112928
PHT_R,2.0623795735948933
PH_R,3.0630857551769357
TPOJ1_R,4.586435983359153
TPOJ2_R,2.9585138860450657
TPOJ3_R,-0.03547564924818572
DVT_R,0.523046373822386
PGp_R,0.01906779483243562
IP2_R,2.6397326288949654
IP1_R,0.8221479636140283
IP0_R,2.2497414471525827
PFop_R,-0.68761090202148
PF_R,0.04267271356586429
PFm_R,0.027582289083626976
PGi_R,-1.0444576064747304
PGs_R,0.14704561072680522
V6A_R,0.5107821880193819
VMV1_R,2.769583191771348
VMV3_R,4.212122812232847
PHA2_R,1.347368572365664
V4t_R,3.1144532729916956
FST_R,3.7983604603507573
V3CD_R,1.2520547273501257
LO3_R,0.7168140095561155
VMV2_R,3.8479981764474496
31pd_R,-0.8843325429060941
31a_R,-1.6228189547909262
VVC_R,7.07408870795356
25_R,-3.0395316443920604
s32_R,-2.628716293195402
pOFC_R,-1.9333271287182372
PoI1_R,-0.5659751369422368
Ig_R,-0.6225157200663738
FOP5_R,-0.17612537227769176
p10p_R,-1.717909084606263
p47r_R,-0.8421237287200734
TGv_R,0.21666753106057027
MBelt_R,4.427989560068801
LBelt_R,6.755970724558627
A4_R,2.576407643420615
STSva_R,1.1445598359147247
TE1m_R,0.4691588675480357
PI_R,-1.0049356843588086
a32pr_R,-1.928508155436497
p24_R,-2.0484140233783616
