region,A4B2
1_R,-1.5760106763964357
2_R,0.5481253676271031
3a_R,0.4826844435173485
6d_R,0.0167514327395567
6mp_R,0.4946408817758668
6v_R,1.0029864549547272
p24pr_R,1.3123987727611155
33pr_R,0.7663130653113919
a24pr_R,1.419099271268228
p32pr_R,1.297384594322222
a24_R,-0.2518254914474275
d32_R,1.173595110690114
8BM_R,0.7372030426450097
p32_R,0.685876187687086
10r_R,0.9118269599359324
47m_R,0.7241740812895477
8Av_R,0.0456560158890739
8Ad_R,1.0742436885806543
9m_R,0.3959027805924879
8BL_R,-0.0446305396933965
9p_R,0.6175522965691846
10d_R,-0.4286572566587212
8C_R,1.1712197837550269
44_R,1.849398719354526
45_R,1.2777152222128132
47l_R,0.6442684663605375
a47r_R,0.4738828446720718
6r_R,1.4408575289002603
IFJa_R,1.1464567333750515
IFJp_R,0.972389292819038
IFSp_R,1.3579001256863
IFSa_R,1.3466772014467256
p9-46v_R,0.8033330856617016
46_R,0.9636548215620214
a9-46v_R,0.8471444851134492
9-46d_R,0.4794752776409749
9a_R,-0.5798837485567537
10v_R,0.1033115351914647
a10p_R,-0.3635752289254668
10pp_R,-0.8593420962772819
11l_R,0.3624572448184418
13l_R,0.0103439398422179
OFC_R,-0.5529661605333993
47s_R,-0.0607612232489164
LIPd_R,0.4842051499300547
6a_R,1.1444906327397604
i6-8_R,0.3814308255622989
s6-8_R,0.1679642387765944
43_R,0.7745195639181295
OP4_R,0.5429231002070651
OP1_R,0.630610119112427
OP2-3_R,0.6580750231389744
52_R,1.0879891623742
RI_R,0.6947828522526445
PFcm_R,0.334122638329824
PoI2_R,0.2952772295714169
TA2_R,-1.047252945954288
FOP4_R,1.3806149494322648
MI_R,1.1007084843535977
Pir_R,-0.8663759462230413
AVI_R,1.162356549406119
AAIC_R,0.2429020411910799
