region,F4
MIP_R,-0.4176416923534456
1_R,-0.8832660579397242
2_R,-0.8058937423841817
3a_R,-2.2858776863805423
6d_R,-0.5168117880869264
6mp_R,-0.9294102948301759
6v_R,0.4057945703475247
p24pr_R,0.060197347359043356
33pr_R,2.6541939716081284
a24pr_R,-0.03683123456367245
p32pr_R,-0.6287516553400351
a24_R,0.5051820376860735
d32_R,0.32084316650355704
8BM_R,0.8045913438763698
p32_R,-0.33620622888926355
10r_R,-0.9337034626621582
47m_R,-0.17160911588246905
8Av_R,0.007773922316853553
8Ad_R,-0.7014982621596936
9m_R,0.5721501704721137
8BL_R,0.4006817582559312
9p_R,-0.2554126837613727
10d_R,0.08319834250792664
8C_R,0.3133841673623444
44_R,1.44305358184936
45_R,0.8050632904000415
47l_R,0.6344340244925095
a47r_R,-0.4000585747626719
6r_R,0.7809288534078653
IFJa_R,-0.21814874754920535
IFJp_R,0.12110488484537396
IFSp_R,-0.44610683568725484
IFSa_R,-0.2712132454485405
p9-46v_R,0.010874389180767163
46_R,-0.6184693140456735
a9-46v_R,-0.2636407902067098
9-46d_R,-0.6870279740204027
9a_R,-0.1159527551776969
10v_R,-0.5603218253406844
a10p_R,-0.811109771479989
10pp_R,-0.0927496474866678
11l_R,-0.5585696636534067
13l_R,-1.455537018402228
OFC_R,-1.2807865380851464
47s_R,1.6767366560725507
LIPd_R,-0.9883341217265496
6a_R,-0.9687750486747773
i6-8_R,-0.7294917280675522
s6-8_R,-0.08005070698430898
43_R,0.9259879843976738
OP4_R,0.9891154108944119
OP1_R,1.0924256746825884
OP2-3_R,0.4672474671606246
52_R,-1.900170631844606
RI_R,-0.7835915266826218
PFcm_R,0.7381238614080546
PoI2_R,3.0146495837829543
TA2_R,-0.8612246977945528
FOP4_R,0.3067216346217458
MI_R,2.0286194676413203
Pir_R,4.161229411702893
AVI_R,1.638715410569435
AAIC_R,4.168174827490147
FOP1_R,1.3654424106494838
FOP3_R,0.32251666058632483
FOP2_R,0.4031252410427114
PFt_R,-0.8551869970720006
AIP_R,-0.7722493754655151
EC_R,1.1462174066074793
PreS_R,2.3474255009674962
H_R,-0.12471496767284702
ProS_R,1.5043965697165174
PeEc_R,-0.2270008551772842
STGa_R,1.5528003996074105
PBelt_R,-1.0261733218797189
A5_R,0.35574698246634706
PHA1_R,1.6391796281410491
PHA3_R,-0.9136566940080263
STSda_R,0.07548273283473483
STSdp_R,-0.40033209934116915
STSvp_R,-0.20754691610890766
TGd_R,1.2402361322904842
TE1a_R,0.0889101463908182
TE1p_R,-0.19705603614935996
TE2a_R,-0.060080204065343645
TF_R,-0.7640118053459667
TE2p_R,-0.3963684462019781
PHT_R,-0.21047209310799847
PH_R,-0.23501910462206013
TPOJ1_R,-0.009080254628649385
TPOJ2_R,-0.2990278214812321
TPOJ3_R,-0.44043343048662664
DVT_R,-0.24264622778232542
PGp_R,-0.04935932046006768
IP2_R,-1.2464923176674965
IP1_R,-1.1529638215887377
IP0_R,-1.1019074167381206
PFop_R,0.36470493513980295
PF_R,0.12793286950113894
PFm_R,-0.29351801086838647
PGi_R,0.057437766173976335
PGs_R,-0.2225148611839262
V6A_R,-0.47574145753427394
