region,economo,mesulam,sa,yeo
11l_R,polar,heteromodal,association,frontoparietal
13l_R,polar,paralimbic,association,limbic
OFC_R,polar,paralimbic,association,limbic
47s_R,polar,paralimbic,association,default mode
LIPd_R,frontal,heteromodal,middle,dorsal attention
6a_R,agranular,unimodal,middle,dorsal attention
i6-8_R,agranular,unimodal,association,frontoparietal
s6-8_R,agranular,unimodal,association,default mode
43_R,agranular,unimodal,middle,ventral attention
OP4_R,parietal,unimodal,sensorimotor,somatosensory
OP1_R,parietal,heteromodal,sensorimotor,somatosensory
OP2-3_R,parietal,heteromodal,sensorimotor,somatosensory
52_R,frontal,unimodal,middle,somatosensory
RI_R,parietal,unimodal,sensorimotor,somatosensory
PFcm_R,parietal,unimodal,sensorimotor,ventral attention
PoI2_R,frontal,paralimbic,middle,ventral attention
TA2_R,granular,unimodal,middle,somatosensory
FOP4_R,frontal,heteromodal,middle,ventral attention
MI_R,frontal,paralimbic,association,ventral attention
Pir_R,frontal,paralimbic,middle,limbic
AVI_R,frontal,paralimbic,association,frontoparietal
AAIC_R,frontal,paralimbic,association,default mode
FOP1_R,agranular,heteromodal,middle,ventral attention
FOP3_R,frontal,heteromodal,middle,ventral attention
FOP2_R,agranular,unimodal,sensorimotor,somatosensory
PFt_R,frontal,unimodal,middle,dorsal attention
AIP_R,frontal,heteromodal,middle,dorsal attention
EC_R,parietal,paralimbic,middle,limbic
PreS_R,parietal,paralimbic,sensorimotor,default mode
H_R,granular,paralimbic,middle,limbic
ProS_R,granular,idiotypic,sensorimotor,visual
PeEc_R,frontal,paralimbic,middle,limbic
STGa_R,parietal,paralimbic,association,default mode
PBelt_R,frontal,unimodal,sensorimotor,somatosensory
A5_R,frontal,unimodal,middle,somatosensory
PHA1_R,parietal,paralimbic,middle,default mode
PHA3_R,frontal,unimodal,middle,visual
STSda_R,frontal,unimodal,association,default mode
STSdp_R,frontal,unimodal,middle,default mode
STSvp_R,frontal,unimodal,association,default mode
TGd_R,frontal,paralimbic,association,limbic
TE1a_R,frontal,heteromodal,association,default mode
TE1p_R,frontal,heteromodal,association,default mode
TE2a_R,frontal,unimodal,association,limbic
TF_R,frontal,unimodal,middle,limbic
TE2p_R,frontal,unimodal,middle,dorsal attention
PHT_R,frontal,heteromodal,association,dorsal attention
PH_R,frontal,unimodal,middle,dorsal attention
TPOJ1_R,frontal,heteromodal,middle,somatosensory
TPOJ2_R,frontal,heteromodal,middle,dorsal attention
TPOJ3_R,parietal,heteromodal,middle,dorsal attention
DVT_R,frontal,unimodal,sensorimotor,visual
PGp_R,parietal,unimodal,middle,dorsal attention
IP2_R,frontal,heteromodal,middle,frontoparietal
IP1_R,frontal,heteromodal,middle,frontoparietal
IP0_R,parietal,unimodal,sensorimotor,dorsal attention
PFop_R,parietal,heteromodal,middle,ventral attention
PF_R,parietal,heteromodal,middle,ventral attention
PFm_R,parietal,heteromodal,association,default mode
PGi_R,parietal,heteromodal,association,default mode
PGs_R,parietal,heteromodal,association,default mode
V6A_R,frontal,unimodal,sensorimotor,visual
VMV1_R,parietal,idiotypic,sensorimotor,visual
VMV3_R,parietal,unimodal,sensorimotor,visual
PHA2_R,parietal,heteromodal,middle,default mode
V4t_R,parietal,unimodal,sensorimotor,visual
FST_R,parietal,unimodal,sensorimotor,dorsal attention
V3CD_R,parietal,unimodal,sensorimotor,visual
LO3_R,parietal,unimodal,sensorimotor,visual
VMV2_R,parietal,idiotypic,sensorimotor,visual
31pd_R,frontal,heteromodal,middle,default mode
31a_R,agranular,heteromodal,middle,default mode
VVC_R,frontal,unimodal,sensorimotor,visual
25_R,agranular,paralimbic,association,limbic
s32_R,frontal,paralimbic,association,limbic
pOFC_R,polar,paralimbic,middle,limbic
PoI1_R,frontal,paralimbic,middle,ventral attention
Ig_R,frontal,paralimbic,sensorimotor,somatosensory
FOP5_R,frontal,heteromodal,association,ventral attention
p10p_R,parietal,heteromodal,association,default mode
p47r_R,frontal,heteromodal,association,frontoparietal
TGv_R,frontal,paralimbic,middle,limbic
MBelt_R,granular,unimodal,sensorimotor,somatosensory
LBelt_R,parietal,idiotypic,sensorimotor,somatosensory
A4_R,frontal,unimodal,middle,somatosensory
STSva_R,frontal,unimodal,association,default mode
TE1m_R,frontal,heteromodal,association,default mode
PI_R,granular,unimodal,middle,ventral attention
a32pr_R,frontal,heteromodal,association,frontoparietal
p24_R,agranular,paralimbic,association,default mode
