region,rtop_retest_cov
PSL_R,1.4179119347408016
SFL_R,1.9185568666168136
PCV_R,1.752453948261583
STV_R,1.5577458146558938
7Pm_R,1.3381003243196865
7m_R,1.6365792478323071
POS1_R,1.6775225228024735
23d_R,2.366529039107111
v23ab_R,2.0771416736296118
d23ab_R,1.7680846677234692
31pv_R,1.7928727336444874
5m_R,1.8972021463003923
5mv_R,1.5920923376572915
23c_R,1.598217696771978
5L_R,1.4426472116123226
24dd_R,1.479055878037221
24dv_R,1.814717955743232
7AL_R,1.4451231445231298
SCEF_R,1.5698112973201
6ma_R,1.5984692591302572
7Am_R,1.7623896689170713
7Pl_R,1.3536640971468477
7PC_R,1.5406981649469351
LIPv_R,1.5405222193121968
VIP_R,1.543637756979156
MIP_R,1.4326987054829567
1_R,1.444172385012635
2_R,1.3051998056233214
3a_R,2.080813901411185
6d_R,1.5857769783002729
6mp_R,1.624569399916179
6v_R,2.003626158469193
p24pr_R,2.129123241921272
33pr_R,2.267237280921
a24pr_R,2.044922293741722
p32pr_R,1.606698312052883
a24_R,2.222674480343626
d32_R,2.449772449776095
8BM_R,1.9006680095090795
p32_R,2.4576830030929
10r_R,2.184818834816212
47m_R,2.001052431742324
8Av_R,1.642048362366602
8Ad_R,1.862230639606688
9m_R,2.2655107186794003
8BL_R,2.1530483899642303
9p_R,1.6579173133379748
10d_R,2.692908984864573
8C_R,1.6662279476468274
44_R,2.0027602804678897
45_R,2.3439316831591928
47l_R,2.1758501554294845
a47r_R,1.884713921305552
6r_R,1.7661964713673144
IFJa_R,1.9904072143239997
IFJp_R,1.6931906521662283
IFSp_R,2.1657846548531654
IFSa_R,2.5569223096218345
p9-46v_R,2.124251533884045
46_R,1.7412953446335893
a9-46v_R,2.2603330439691285
9-46d_R,2.196623731757255
9a_R,2.60118568619358
10v_R,2.2166670495478997
a10p_R,2.9406628674907784
10pp_R,2.322924548651778
11l_R,2.3429496485347245
13l_R,3.009720073977672
OFC_R,2.0861095890668686
47s_R,2.5419033440325367
LIPd_R,1.720638016726571
6a_R,1.3203103752172458
i6-8_R,2.041096555312981
s6-8_R,1.9770693739238328
43_R,1.624072737357063
OP4_R,1.9089236532216964
OP1_R,2.0295883960422576
OP2-3_R,1.7050486715864923
52_R,1.791240724418964
RI_R,1.894855563606743
PFcm_R,1.8294286532076591
PoI2_R,2.0990184264874543
TA2_R,2.163910847068216
FOP4_R,1.7689113685966773
MI_R,2.1770430326036454
Pir_R,2.948654398029732
AVI_R,1.895734576091593
AAIC_R,2.5047650621562547
FOP1_R,2.090942439728265
FOP3_R,2.1590364539831515
FOP2_R,2.251526426017154
PFt_R,1.2299543499010734
AIP_R,1.4083382587853968
EC_R,2.344149992898293
PreS_R,1.7596085197938796
H_R,1.285198289545112
ProS_R,1.9730724613562485
PeEc_R,1.8782071278159116
STGa_R,2.699854550747733
PBelt_R,1.6700565806524077
A5_R,1.7503385739504371
PHA1_R,1.592478982402768
PHA3_R,1.7343775322790564
STSda_R,2.0366439714377447
STSdp_R,1.7558504996866489
STSvp_R,1.9253891447314075
TGd_R,2.568428101092749
TE1a_R,2.752146773706566
TE1p_R,1.9922904255541904
TE2a_R,2.221747972519005
TF_R,1.633853063429419
TE2p_R,2.060708346445207
PHT_R,1.9709158353688048
PH_R,2.2063320031090425
TPOJ1_R,1.736009586760729
TPOJ2_R,1.7518552666045846
TPOJ3_R,1.517583291944972
DVT_R,1.282038502566866
PGp_R,1.2618507647296475
IP2_R,1.448146717047295
IP1_R,1.703373712803272
IP0_R,1.779876125575794
PFop_R,1.7837369438785242
PF_R,1.8045015815572776
PFm_R,1.5803850058065
PGi_R,1.3353513576680598
PGs_R,1.5907819189788082
V6A_R,1.832341573018417
VMV1_R,1.804102755682844
VMV3_R,2.2279271820750046
PHA2_R,1.846374210812496
V4t_R,2.0227664078947374
FST_R,1.7711027670874264
V3CD_R,1.3213306754874092
LO3_R,1.654227557692573
VMV2_R,1.799490489583093
31pd_R,1.694205741904762
31a_R,1.7581873285508527
VVC_R,1.6782234621169418
25_R,2.021383601417184
s32_R,2.1797285937820328
pOFC_R,1.9331440997815903
PoI1_R,1.98850258793443
Ig_R,1.6710395539290763
FOP5_R,1.841172539502298
p10p_R,3.091094884354283
p47r_R,3.202604717958788
TGv_R,2.149836713366954
MBelt_R,1.748335682849384
LBelt_R,2.0498551838074075
A4_R,1.8307982808698875
STSva_R,2.6332779936376256
TE1m_R,2.114715748091881
PI_R,2.3679830972996165
a32pr_R,1.9484530466824728
p24_R,2.808974887310341
