region,icvf
PIT_R,0.262627894790739
MT_R,0.2523656481150839
A1_R,0.306339711873591
PSL_R,0.23234908185855152
SFL_R,0.26083147759144953
PCV_R,0.25537746929998306
STV_R,0.23620686825633397
7Pm_R,0.25145571234502345
7m_R,0.2532501390057654
POS1_R,0.27391903988978245
23d_R,0.25926622699175417
v23ab_R,0.270391812257077
d23ab_R,0.2640139784581564
31pv_R,0.2503538318671171
5m_R,0.3111223320406853
5mv_R,0.26770511009399933
23c_R,0.244561474101165
5L_R,0.2712388134922887
24dd_R,0.28597155531709384
24dv_R,0.2609159593324603
7AL_R,0.2584298710534377
SCEF_R,0.27647504176578414
6ma_R,0.2655931381715752
7Am_R,0.2556687080612507
7Pl_R,0.25541186523045867
7PC_R,0.2640586984253098
LIPv_R,0.2653836007417542
VIP_R,0.2630835109444894
MIP_R,0.255168095222696
1_R,0.2865380147185907
2_R,0.26605092709511213
3a_R,0.2783575969745784
6d_R,0.28607402690568323
6mp_R,0.2833096017183885
6v_R,0.24572186914829744
p24pr_R,0.2407566843153598
33pr_R,0.2582733581261491
a24pr_R,0.235830305821334
p32pr_R,0.2526676969416841
a24_R,0.23368121117031646
d32_R,0.23228045007367246
8BM_R,0.2519247972404549
p32_R,0.23459313809005414
10r_R,0.2594438382356954
47m_R,0.2854963026050444
8Av_R,0.2528496713246905
8Ad_R,0.24147631536433325
9m_R,0.22237054380155472
8BL_R,0.23436762443244616
9p_R,0.21927354689972067
10d_R,0.2148522257441419
8C_R,0.251206092671252
44_R,0.24513192964061656
45_R,0.24472299181401366
47l_R,0.2446761103575144
a47r_R,0.23377892762398847
6r_R,0.2384520455976694
IFJa_R,0.25633242713882193
IFJp_R,0.2504303107648105
IFSp_R,0.25118852994141977
IFSa_R,0.23369855435409884
p9-46v_R,0.24010297359832317
46_R,0.22897935098995711
a9-46v_R,0.22690400680051734
9-46d_R,0.21920800274735852
9a_R,0.21027950804296086
10v_R,0.28188127948110947
a10p_R,0.22364479253191144
10pp_R,0.265694564421874
11l_R,0.2643065184931908
13l_R,0.32113550086783954
OFC_R,0.3442711137980347
47s_R,0.2739705105096746
LIPd_R,0.25260634854303315
6a_R,0.26370052781402614
i6-8_R,0.2634191807432263
s6-8_R,0.2537063338202257
43_R,0.2478073600720591
OP4_R,0.24715736010897674
OP1_R,0.26331710894674776
OP2-3_R,0.26694866876703643
52_R,0.2592988303591215
RI_R,0.2652928866759762
PFcm_R,0.2517702444432861
PoI2_R,0.24593499433350474
TA2_R,0.2524464532084811
FOP4_R,0.24777283144440773
MI_R,0.23427574833406348
Pir_R,0.28366204633409486
AVI_R,0.25156172858572445
AAIC_R,0.23947475906527457
FOP1_R,0.2539284745930199
FOP3_R,0.2405826655844825
FOP2_R,0.2517455218356905
PFt_R,0.23903923716928607
AIP_R,0.24850430922484398
EC_R,0.3237287006596032
PreS_R,0.33209999080121405
H_R,0.26395944629934465
ProS_R,0.27440166064953003
PeEc_R,0.29476323758601825
STGa_R,0.22954772194389833
PBelt_R,0.26301531741057377
A5_R,0.24350374617608364
PHA1_R,0.27508080411421604
PHA3_R,0.25664701055392547
STSda_R,0.23857098130187035
STSdp_R,0.2393242576750301
STSvp_R,0.2252327883693448
TGd_R,0.26357625814816826
TE1a_R,0.2344230577092325
TE1p_R,0.22727349327230206
TE2a_R,0.25877675471347794
TF_R,0.29791738993727956
TE2p_R,0.2698104164823909
PHT_R,0.2256707128488774
PH_R,0.24122686459790427
TPOJ1_R,0.2380033894611987
TPOJ2_R,0.23627597779400317
TPOJ3_R,0.23900392220258782
DVT_R,0.2616119225527889
PGp_R,0.2382497175513144
IP2_R,0.2444433872117415
IP1_R,0.24614951916188213
IP0_R,0.2416210607315912
PFop_R,0.2376618102399178
PF_R,0.2389754023259835
PFm_R,0.24215917256079794
PGi_R,0.2362316834062324
PGs_R,0.243345603261551
V6A_R,0.26053377641290026
VMV1_R,0.28813212523426573
VMV3_R,0.26276631677133255
PHA2_R,0.2580768582817805
V4t_R,0.2542018277742545
FST_R,0.2368829787456644
V3CD_R,0.24290481605360967
LO3_R,0.24498930523317175
VMV2_R,0.2658666237451273
31pd_R,0.2498482498772734
31a_R,0.2537555101811588
VVC_R,0.27463983537799763
25_R,0.2978335095225807
s32_R,0.28804514566915596
pOFC_R,0.32660988783678896
PoI1_R,0.24581968041437813
Ig_R,0.26109409918337184
FOP5_R,0.2571065471381281
p10p_R,0.21835184999017745
p47r_R,0.22666999772783536
TGv_R,0.2945230552658454
MBelt_R,0.3016442680861679
LBelt_R,0.2690116617798825
A4_R,0.24666337149839443
STSva_R,0.23064640919713048
TE1m_R,0.23071245901878215
PI_R,0.24124306592418066
a32pr_R,0.23682315467895754
p24_R,0.22106837137826565
